id,State,Blockname,TreatYear,Treatment,Dosage,DistanceKm,Acres,T,T1,T2,T3,T4,C,C1,C2,C3,C4
148,WI,Bayfield4,2010,MD,6g,-13.9,2237,0.87,0.91,0.95,0.95,0.47,0.34,0.23,0.14,0.13,1.42
149,WI,Bayfield5,2010,Btk,24BIUx2,-9.5,933,0.44,0.62,0.82,0.93,0.38,1.22,0.84,0.40,0.16,1.34
150,WI,Bayfield7,2010,MD,6g,-10.2,4812,0.87,0.90,0.82,0.90,0.61,0.27,0.19,0.36,0.21,0.77
151,WI,Bayfield9,2010,MD,6g,-9.2,4170,0.86,0.83,0.78,0.83,0.04,0.14,0.18,0.23,0.17,1
152,WI,Buffalo1,2010,MD,6g,21.9,2117,1,0.92,0.98,0.86,0.94,0,0.65,0.19,1.13,0.46
153,WI,Chippewa1,2010,MD,6g,-1.1,13282,0.96,0.91,0.95,0.80,0.87,0.25,0.53,0.32,1.19,0.81
154,WI,Chippewa10,2010,Btk,24BIUx2,-18.7,4085,1,0.98,0.95,0.91,0.95,0.01,0.38,0.84,1.59,0.94
155,WI,Chippewa4,2010,MD,6g,-8.7,2847,0.87,0.93,0.90,0.90,0.92,0.96,0.52,0.70,0.69,0.59
156,WI,Clark10,2010,NPV,5x10^11,-51.7,183,0.21,0.66,-0.51,0.86,-0.44,1.66,0.72,3.17,0.29,3.02
157,WI,Clark11,2010,NPV,5x10^11,-60.2,97,0.69,0.81,0.23,0.47,,0.69,0.42,1.72,1.17,
158,WI,Clark15,2010,NPV-MD,5x10^11,-51.4,124,0.95,0.92,0.96,0.92,-0.09,0.17,0.26,0.12,0.27,3.58
159,WI,Clark16,2010,NPV-MD,5x10^11,-55.4,109,0.98,0.78,0.92,0.94,0.34,0.07,0.86,0.31,0.25,2.64
160,WI,Clark17,2010,MD,6g,-54.1,29897,0.91,0.86,0.74,0.83,-0.03,0.19,0.29,0.52,0.34,2.11
161,WI,Clark3,2010,MD,6g,-48.7,976,0.39,0.84,0.89,0.48,0.35,0.81,0.21,0.14,0.69,0.87
162,WI,Clark4,2010,MD,6g,-51.1,1042,0.72,0.89,0.69,-0.63,0.54,0.82,0.31,0.91,4.81,1.36
163,WI,Crawford 2,2010,MD,6g,35.6,2874,0.98,0.96,0.98,0.94,0.82,0.17,0.34,0.13,0.53,1.50
164,WI,Crawford1,2010,MD,6g,-3,10076,0.98,0.97,0.84,0.89,0.99,0.05,0.08,0.43,0.28,0.04
165,WI,Crawford3,2010,Btk-MD,24BIUx2,35.1,3272,1,1,0.97,0.91,0.96,0.01,0.05,0.45,1.64,0.66
166,WI,Douglas11,2010,MD,6g,6.4,26533,0.99,0.89,0.98,0.99,0.98,0.07,0.71,0.13,0.06,0.16
167,WI,Douglas5,2010,Btk,24BIUx2,7.2,868,0.99,0.82,0.68,0.79,0.84,0.04,0.53,0.96,0.63,0.48
168,WI,Douglas6,2010,MD,6g,20.3,2782,0.99,0.95,0.80,0.92,0.83,0.06,0.25,1.04,0.42,0.92
169,WI,Dunn1,2010,Btk,24BIUx2,29.5,1052,0.96,1,1,0.98,0.90,0.84,0.02,0.05,0.47,2.33
170,WI,Dunn2,2010,Btk,24BIUx2,30.9,662,0.98,0.98,1,0.98,0.97,1.03,1.05,0,1.21,1.48
171,WI,EauClaire10,2010,Btk,24BIUx2,0.5,722,1,0.90,0.99,0.99,0.93,0,1.76,0.11,0.25,1.24
172,WI,EauClaire2,2010,MD,6g,-21.9,10984,0.95,0.90,0.93,0.75,0.58,0.27,0.58,0.41,1.44,2.42
173,WI,EauClaire4,2010,MD,6g,4.6,9234,1,0.97,0.96,0.90,0.76,0,0.19,0.28,0.65,1.62
174,WI,Grant1,2010,MD,6g,32.5,10822,0.99,0.96,0.96,0.75,0.99,0.06,0.29,0.31,1.91,0.06
175,WI,Green1,2010,Btk,24BIUx2,-35.3,190,0.69,0.62,0.94,0.91,0.60,0.41,0.50,0.08,0.12,0.52
176,WI,Green2,2010,Btk,24BIUx2,-37.3,131,0.82,0.81,0.37,0.72,0.72,0.20,0.22,0.72,0.32,0.33
177,WI,Green3,2010,Btk,24BIUx2,-40.8,131,0.54,0.59,-0.09,0.58,0.16,0.32,0.29,0.75,0.29,0.58
178,WI,Green4,2010,Btk,24BIUx2,-40.7,112,0.24,0.14,0.88,0.39,-1.49,0.19,0.21,0.03,0.15,0.62
179,WI,Green5,2010,Btk,24BIUx2,-43.3,127,0.58,0.43,0.63,0.12,0.19,0.24,0.33,0.21,0.50,0.47
180,WI,Green6,2010,Btk,24BIUx2,-46.2,198,0.26,0.13,0.72,0.34,0.51,0.56,0.66,0.21,0.50,0.37
181,WI,Green7,2010,Btk,24BIUx2,-44.3,124,0.59,0.43,0.65,0.40,0.27,0.26,0.35,0.22,0.37,0.45
182,WI,Iowa1,2010,Btk,24BIUx1,-13.4,3878,0.95,0.66,0.73,0.77,0.81,0.12,0.83,0.65,0.55,0.45
183,WI,Iowa10,2010,Btk,24BIUx1,-47.7,195,0.08,-1.59,-1.41,-1.09,,0.15,0.43,0.40,0.35,
184,WI,Iowa2,2010,MD,6g,-19.7,14065,0.97,0.88,0.91,0.73,0.82,0.05,0.21,0.15,0.48,0.31
185,WI,Iowa7,2010,Btk,24BIUx1,-38.5,204,0.68,-1.70,0.40,0.29,,0.15,1.26,0.28,0.33,
186,WI,Iowa8,2010,Btk,24BIUx1,-43.6,200,-0.02,0.33,0.67,-0.63,-3.02,0.24,0.16,0.08,0.38,0.93
187,WI,Iowa9,2010,Btk,24BIUx1,-49.4,219,0.01,-3.61,0.09,-1.26,,0.24,1.13,0.22,0.55,
188,WI,Jackson1,2010,MD,6g,-30.3,10680,0.82,0.61,0.61,-0.06,0.14,0.53,1.19,1.20,3.22,2.60
189,WI,Jackson10,2010,NPV,5x10^11,-40.4,177,0.87,0.92,0.85,0.48,0.49,0.67,0.42,0.75,2.66,2.59
